Europe & Central Asia (IDA & IBRD countries),22758.66419
Togo,1773.896632
Thailand,19051.33338
Tajikistan,3449.779316
Turkmenistan,19304.10131
Latin America & the Caribbean (IDA & IBRD countries),16166.91459
Timor-Leste,7658.434996
Middle East & North Africa (IDA & IBRD countries),
Tonga,6419.561778
South Asia (IDA & IBRD),7084.490975
Sub-Saharan Africa (IDA & IBRD countries),3987.503987
Trinidad and Tobago,32014.78313
Tunisia,12502.82019
Turkey,28068.85941
Tuvalu,4049.56438
Tanzania,3227.034211
Uganda,2038.073892
Ukraine,9233.150469
Upper middle income,18919.99158
Uruguay,23572.17746
United States,62794.58565
Uzbekistan,8556.051512
St. Vincent and the Grenadines,12287.9755
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,7447.814334
Vanuatu,3221.149823
World,17912.36813
Samoa,6483.534228
Kosovo,11348.36345
"Yemen, Rep.",2575.126385
South Africa,13686.88236
Zambia,4223.906936
Zimbabwe,3029.793005
