6.4,10.6,2.1,10.1987,0.197,1955.006208,0.2,1,0.231,0.003
5.6,7,4.3,6.6979,0.688,13364.1554,7.5,0,1.471,0.068
3.3,4.9,1.8,6.6485,0.209,15481.78762,0.9,0,1.55,0.048
8.9,14,4.6,2.8778,0.821,6452.355165,6.4,0,0.057,0.011
9.1,15,3.5,7.5484,0.631,20610.56855,9.8,1,21.705,0.937
5.7,10.1,2,9.9273,0.703,10343.17559,5.5,0,3.84,0.379
11.7,17.4,6,9.2521,0.818,51663.36509,10.6,1,13.525,0.071
11.4,17.5,5.7,10.4376,0.806,55454.68929,11.6,1,16.14,0.092
2.6,4.3,1,6.8906,0.907,18044.13678,0.8,0,3.452,0.114
5.7,7.9,2.1,4.8695,0.452,47303.04851,1.9,0,5.467,0.146
6.1,5.5,6.7,2.3651,0.681,4371.754986,0,0,0.13,0.001
0.4,0.8,0.3,6.9624,0.859,18554.12928,9.6,0,4.08,0.352
21.4,39.3,6.2,6.3168,0.796,19994.80408,11.2,1,13.504,0.2
15.7,22.2,9.4,10.0384,0.79,51407.99834,12.1,0,20.057,0.47
5.9,9.9,2,6.1214,0.597,8648.0888,6.7,0,1.392,0.27
15.7,22.6,9.6,3.8556,0.862,2424.755845,3,0,0.19,0.04
11.6,13.8,8.9,3.4542,0.863,10167.93406,0.6,1,0.508,0
12.9,16.9,8.9,6.8606,0.792,7873.166243,4.8,0,1.128,0.075
6.4,10.6,2.5,9.2296,0.596,14623.67405,6.4,0,8.032,0.085
11.5,18.3,5.7,5.4632,0.881,18615.79334,8.4,0,0.29,0.091
6.1,9.7,2.8,11.7715,0.735,16096.40096,7.8,0,3.165,0.069
4.5,6.2,2.8,2.341,0.7,80920.04868,0.4,0,1.197,0
7.9,13.1,3.2,8.2301,0.813,21960.36994,12.7,1,7.203,0.167
14.8,22.4,9.1,6.7525,0.856,1984.884306,8.2,0,0.039,0
15,23.1,7.7,7.6893,1.017,744.182072,7.5,0,0.01,0.01
5.9,9,3.2,6.082,0.912,4360.854404,6.7,0,0.387,0
19.5,26.9,12.5,4.6902,0.829,3785.079978,8.9,0,0.03,0.0083
10.4,15.1,5.8,10.5347,0.865,48130.25597,8.9,0,14.679,0.057
15.1,24.1,7.7,5.2635,0.612,7454.063917,5.7,0,1.37,0
11.6,18,6,4.2825,0.852,859.9356196,3.3,0,0.022,0
15.5,17.1,13.8,4.5381,0.808,1968.258262,1.5,0,0.007,0
9.7,16,3.8,8.5289,0.657,25222.52778,9.3,1,6.97,0.023
8,7.9,8.3,4.9819,0.817,18236.61298,7.2,0,2.199,0.068
7,11.5,2.8,5.9123,0.699,15012.93027,5.8,0,1.835,1.988
11.1,17.6,5.4,7.6311,0.436,2913.387306,0.9,0,0.129,0
7.5,12.8,2.3,7.5557,0.587,17671.09535,4.8,1,3.931,0.042
11.5,18.8,5.1,7.1801,0.766,27579.78083,8.9,0,11.095,0.165
10.1,16.4,4.1,12.1912,0.618,21016.65,6.1,1,9.056,0.166
4.5,7.2,1.9,6.8797,0.788,33047.55,10.8,0,7.21,0.086
10.5,17.2,4.2,7.1496,0.739,39743.59709,14.4,0,12.364,0.17
9.7,15,4.9,3.8712,0.966,932.1720068,2.6,0,0.066,0.009
9.2,13.2,5.2,10.35,0.876,55671.16527,10.4,0,17.72,0.141
8.5,11.9,5.3,3.5019,0.536,3139.3,0.5,0,0,0.01
10.5,17.9,3.2,6.1613,0.651,17748.18532,6.9,1,2.28,0.01
7.2,10.7,3.8,8.3871,0.659,11734.38739,4.4,0,0.458,0.025
4.4,7.2,1.7,4.6378,0.316,12412.3094,0.4,0,1.6,0.019
13.5,24.8,4.3,6.9578,0.603,8331.804142,3.7,0,0.887,0.032
22,31.3,10.8,3.3765,0.873,22743.82443,11.3,0,0.681,0.085
13.8,22.4,6.1,2.9593,0.89,2102.95,1.3,0,1,0.021
14.4,25.6,4.4,6.6837,0.815,35973.77646,11.6,0,16.188,0.152
16.7,25.4,9.6,7.6969,0.614,10637.84173,9.9,0,0.076,0.076
11.4,18.7,4.7,3.974,0.875,2022.137961,2.8,0,0.076,0.002
5.5,8.8,2.5,3.4615,0.521,10879.47846,3,1,0.224,0.112
